Date,Open,High,Low,Close,Adj Close,Volume
2000-05-19,142.656250,142.656250,140.250000,140.687500,96.708588,775500
2000-05-22,140.593750,140.593750,136.812500,139.812500,96.107178,1850600
2000-05-23,140.218750,140.218750,137.687500,137.687500,94.646423,373900
2000-05-24,137.750000,140.062500,136.656250,139.750000,96.064148,400300
2000-05-25,140.031250,140.937500,137.875000,138.468750,95.183456,69600
2000-05-26,138.484375,138.750000,137.000000,137.843750,94.753830,237000
2000-05-30,139.281250,142.437500,139.281250,142.375000,97.868660,118100
2000-05-31,141.875000,143.625000,141.875000,142.781250,98.147881,216900
2000-06-01,143.906250,145.062500,143.625000,145.062500,99.716034,128700
2000-06-02,148.312500,148.781250,147.468750,147.937500,101.692268,108400
2000-06-05,147.000000,147.656250,146.687500,146.968750,101.026360,192100
2000-06-06,146.437500,147.187500,145.687500,146.218750,100.510788,209300
2000-06-07,146.218750,147.500000,145.656250,147.187500,101.176720,85400
2000-06-08,147.812500,147.812500,145.937500,146.656250,100.811554,248400
2000-06-09,147.515625,147.515625,145.875000,146.125000,100.446396,20200
2000-06-12,146.625000,146.625000,144.859375,144.859375,99.576355,17600
2000-06-13,145.000000,147.250000,144.500000,146.750000,100.875992,40300
2000-06-14,147.750000,148.375000,147.125000,147.656250,101.498947,353900
2000-06-15,147.687500,148.250000,146.609375,147.656250,101.498947,338500
2000-06-16,148.625000,148.625000,146.468750,147.062500,101.090813,855900
2000-06-19,146.562500,149.031250,146.500000,148.515625,102.089645,160000
2000-06-20,148.625000,148.640625,147.296875,147.703125,101.531143,182600
2000-06-21,146.875000,148.156250,146.875000,147.859375,101.720566,137500
2000-06-22,147.437500,147.437500,145.000000,145.437500,100.054367,182900
2000-06-23,145.500000,145.875000,144.000000,144.390625,99.334167,238200
2000-06-26,145.031250,146.062500,144.812500,146.062500,100.484367,26000
2000-06-27,145.812500,146.296875,145.250000,145.250000,99.925385,40900
2000-06-28,145.312500,146.906250,145.312500,145.921875,100.387589,51200
2000-06-29,144.640625,145.250000,143.562500,144.156250,99.172913,48500
2000-06-30,143.984375,145.484375,143.984375,145.484375,100.086624,16800
2000-07-03,145.500000,147.140625,145.468750,147.140625,101.226051,7100
2000-07-05,146.265625,146.359375,144.625000,145.093750,99.817917,27400
2000-07-06,144.875000,146.125000,144.218750,145.812500,100.312363,40100
2000-07-07,146.375000,148.500000,146.375000,147.968750,101.795799,65500
2000-07-10,147.656250,148.656250,147.656250,147.718750,101.623764,77500
2000-07-11,147.250000,149.000000,147.250000,148.281250,102.010735,40700
2000-07-12,149.250000,149.937500,148.875000,149.093750,102.569725,2642100
2000-07-13,149.718750,150.281250,149.140625,149.593750,102.913727,971600
2000-07-14,150.250000,151.125000,149.812500,150.984375,103.870369,158800
2000-07-17,150.734375,151.906250,150.593750,150.890625,103.805870,430100
2000-07-18,150.468750,150.500000,149.375000,149.812500,103.064201,763600
2000-07-19,149.343750,149.578125,148.406250,148.406250,102.096748,120000
2000-07-20,148.875000,150.421875,148.765625,150.421875,103.483398,96500
2000-07-21,149.406250,149.437500,147.718750,147.718750,101.623764,601300
2000-07-24,148.250000,148.593750,146.593750,146.593750,100.849861,251700
2000-07-25,147.468750,147.515625,146.812500,147.421875,101.419548,116700
2000-07-26,146.875000,146.890625,145.750000,146.000000,100.441360,474800
2000-07-27,145.718750,146.562500,144.875000,145.390625,100.022125,94200
2000-07-28,145.500000,145.500000,141.500000,142.218750,97.840004,1147800
2000-07-31,142.937500,143.953125,142.406250,142.937500,98.334503,332900
2000-08-01,143.281250,144.390625,143.281250,144.062500,99.108459,481700
2000-08-02,144.656250,145.328125,144.093750,144.359375,99.312683,505900
2000-08-03,142.937500,145.656250,142.937500,145.375000,100.011368,173500
2000-08-04,146.031250,146.421875,145.468750,146.250000,100.613342,132900
2000-08-07,146.640625,148.296875,146.468750,148.296875,102.021484,6500
2000-08-08,147.843750,148.687500,147.687500,148.578125,102.214981,175400
2000-08-09,149.093750,149.093750,147.812500,147.812500,101.688293,123100
2000-08-10,147.531250,147.609375,146.343750,146.421875,100.731583,118000
2000-08-11,146.531250,147.578125,146.093750,147.312500,101.344299,129400
